,Composer,Name,Style,Harmony,Kalz Centrality,Global Clustering,Square Clustering,Harmonic Centrality,Betweenness Centrality,Closeness Centrality,Tonnetz
0,bach,bwv1.6,barok,classic,0.14269823482158334,0.2955128205128205,0.30965464854182545,13.346414696414687,0.12345326480106605,0.0721497919556172,"[3, 4, 5]"
1,bach,bwv10.7,barok,classic,0.21387649152995733,0.15967741935483873,0.3221177703088909,13.002380952380948,0.11502732240437158,0.14324367340442462,"[2, 3, 7]"
2,bach,bwv101.7,barok,classic,0.19733424267772245,0.2942857142857143,0.4024173219070504,13.517460317460316,0.12441181545081798,0.1241009125067096,"[3, 4, 5]"
3,bach,bwv102.7,barok,classic,0.20956538823892973,0.3017241379310345,0.4469259519356945,13.433333333333335,0.08670835390803289,0.17410615145458586,"[3, 4, 5]"
4,bach,bwv103.6,barok,classic,0.21513965976178584,0.18817204301075272,0.3058538312054549,13.716666666666665,0.09049998001249952,0.15864621893178213,"[2, 3, 7]"
5,bach,bwv104.6,barok,classic,0.17005474734944168,0.2769230769230769,0.3217460731067917,13.359126984126975,0.12320574162679425,0.11434906556857775,"[3, 4, 5]"
6,bach,bwv108.6,barok,classic,0.2149687178436916,0.2827586206896551,0.3500726199764912,12.959523809523807,0.08395989974937343,0.15809639040129056,"[3, 4, 5]"
7,bach,bwv11.6,barok,classic,0.2002659660468879,0.2789215686274509,0.279640143014336,13.325793650793646,0.08852801434587773,0.12407428506323345,"[3, 4, 5]"
8,bach,bwv110.7,barok,classic,0.21278057553387,0.2724358974358974,0.3765900113365014,11.459523809523807,0.08980392156862745,0.1591545709192768,"[3, 4, 5]"
9,bach,bwv111.6,barok,classic,0.14057352234728945,0.2269444444444444,0.3389656402606763,12.249999999999995,0.02399943028058681,0.07211456010975817,"[3, 4, 5]"
10,bach,bwv112.5-sc,barok,classic,0.2152380141288784,0.3091954022988505,0.4177938662040049,12.792857142857144,0.10766499582289056,0.15114709851551958,"[3, 4, 5]"
11,bach,bwv112.5,barok,classic,0.1808823237774155,0.2717054263565891,0.3364729368954146,14.815873015873013,0.1310224089635854,0.11658955717118308,"[3, 4, 5]"
12,bach,bwv113.8,barok,classic,0.19089074126981945,0.15203252032520326,0.3147977408568913,15.810714285714283,0.12613168724279833,0.13529511246406226,"[2, 3, 7]"
